Question,Question Text,A,B,C,D,E,Your Answer,Correct,Points,Domain
Q1,"A company uses AWS Cost Explorer to monitor its AWS costs. The company notices that Amazon Elastic Block Store (Amazon EBS) storage and snapshot costs increase every month. However, the company does not purchase additional EBS storage every month. The company wants to optimize monthly costs for its current storage usage. Which solution will meet these requirements with the LEAST operational overhead? Amazon EBS. Use Amazon EBS Elastic Volumes to reduce the size of the EBS volumes. to reduce the size of the EBS volumes. create and manage the snapshots according to the company's snapshot policy requirements.",Use logs in Amazon CloudWatch Logs to monitor the storage utilization of,Use a custom script to monitor space usage. Use Amazon EBS Elastic Volumes,Delete all expired and unused snapshots to reduce snapshot costs.,Delete all nonessential snapshots. Use Amazon Data Lifecycle Manager to,,,D,"=IF(H2=I2,1,0)",Design Cost-Optimized Architectures
Q2,"A company has NFS servers in an on-premises data center that need to periodically back up small amounts of data to Amazon S3. Which solution meets these requirements and is MOST cost-effective? to Amazon S3. premises to Amazon S3. center and a VPC, and copy the data to Amazon S3.",Set up AWS Glue to copy the data from the on-premises servers to Amazon S3.,"Set up an AWS DataSync agent on the on-premises servers, and sync the data",Set up an SFTP sync using AWS Transfer for SFTP to sync data from on,Set up an AWS Direct Connect connection between the on-premises data,,,B,"=IF(H3=I3,1,0)",Design Secure Architectures
Q3,"A company is developing software that uses a PostgreSQL database schema. The company needs to configure multiple development environments and databases for the company's developers. On average, each development environment is used for half of the 8-hour workday. Which solution will meet these requirements MOST cost-effectively? PostgreSQL database PostgreSQL Single-AZ DB instances On-Demand PostgreSQL-Compatible database using Amazon S3 Object Select",Configure each development environment with its own Amazon Aurora,Configure each development environment with its own Amazon RDS for,Configure each development environment with its own Amazon Aurora,Configure each development environment with its own Amazon S3 bucket by,,,C,"=IF(H4=I4,1,0)",Design Cost-Optimized Architectures
Q4,A company uses an Amazon CloudFront distribution to serve content pages for its website. The company needs to ensure that clients use a TLS certificate when accessing the company's website. The company wants to automate the creation and renewal of the TLS certificates. Which solution will meet these requirements with the MOST operational efficiency? 361 Global IT Certification Hub for the domain. validation for the domain.,Use a CloudFront security policy to create a certificate.,Use a CloudFront origin access control (OAC) to create a certificate.,Use AWS Certificate Manager (ACM) to create a certificate. Use DNS validation,Use AWS Certificate Manager (ACM) to create a certificate. Use email,,,C,"=IF(H5=I5,1,0)",Design High-Performing Architectures
Q5,"A company is developing an ecommerce application that will consist of a load-balanced front end, a container-based application, and a relational database. A solutions architect needs to create a highly available solution that operates with as little manual intervention as possible. Which solutions meet these requirements? (Choose two.) Availability Zone. application load. Fargate launch type to handle the dynamic application load. Amazon EC2 launch type to handle the dynamic application load.",Create an Amazon RDS DB instance in Multi-AZ mode.,Create an Amazon RDS DB instance and one or more replicas in another,Create an Amazon EC2 instance-based Docker cluster to handle the dynamic,Create an Amazon Elastic Container Service (Amazon ECS) cluster with a,Create an Amazon Elastic Container Service (Amazon ECS) cluster with an,,AD,"=IF(H6=I6,1,0)",Design Resilient Architectures
Q6,A company wants to analyze and generate reports to track the usage of its mobile app. The app is popular and has a global user base. The company uses a custom report building program to analyze application usage. The program generates multiple reports during the last week of each month. The 494 Global IT Certification Hub program takes less than 10 minutes to produce each report. The company rarely uses the program to generate reports outside of the last week of each month The company wants to generate reports in the least amount of time when the reports are requested. Which solution will meet these requirements MOST cost-effectively? Amazon EventBridge rule to start the EC2 instances when reports are requested. Run the EC2 instances continuously during the last week of each month. Lambda function when reports are requested. Schedule Amazon ECS to run the program when reports are requested. EventBndge rule to start the EC2 instances when reports are requested. Run the EC2 instances continuously during the last week of each month.,Run the program by using Amazon EC2 On-Demand Instances. Create an,Run the program in AWS Lambda. Create an Amazon EventBridge rule to run a,Run the program in Amazon Elastic Container Service (Amazon ECS).,Run the program by using Amazon EC2 Spot Instances. Create an Amazon,,,B,"=IF(H7=I7,1,0)",Design Cost-Optimized Architectures
Q7,A company wants to share accounting data with an external auditor. The data is stored in an Amazon RDS DB instance that resides in a private subnet. The auditor has its own AWS account and requires its own copy of the database. What is the MOST secure way for the company to share the database with the auditor? authentication to grant the auditor access. bucket. Create a new IAM user for the auditor. Grant the user access to the S3 bucket. Share the user's keys with the auditor to grant access to the object in the S3 bucket. auditor. Allow access to the AWS Key Management Service (AWS KMS) encryption key. 274 Global IT Certification Hub,Create a read replica of the database. Configure IAM standard database,Export the database contents to text files. Store the files in an Amazon S3,Copy a snapshot of the database to an Amazon S3 bucket. Create an IAM user.,Create an encrypted snapshot of the database. Share the snapshot with the,,,D,"=IF(H8=I8,1,0)",Design Secure Architectures
Q8,An ecommerce company runs several internal applications in multiple AWS accounts. The company uses AWS Organizations to manage its AWS accounts. 591 Global IT Certification Hub A security appliance in the company's networking account must inspect interactions between applications across AWS accounts. Which solution will meet these requirements? to the security appliance. Configure the application accounts to send traffic to the NLB by using an interface VPC endpoint in the application accounts. traffic directly to the security appliance. traffic to the security appliance. Configure the application accounts to send traffic to the GWLB by using an interface GWLB endpoint in the application accounts. directly to the security appliance.,Deploy a Network Load Balancer (NLB) in the networking account to send traffic,Deploy an Application Load Balancer (ALB) in the application accounts to send,Deploy a Gateway Load Balancer (GWLB) in the networking account to send,Deploy an interface VPC endpoint in the application accounts to send traffic,,,C,"=IF(H9=I9,1,0)",Design Secure Architectures
Q9,"A company sells datasets to customers who do research in artificial intelligence and machine learning (AI/ML). The datasets are large, formatted files that are stored in an Amazon S3 bucket in the us-east-1 Region. The company hosts a web application that the customers use to purchase access to a given dataset. The web application is deployed on multiple Amazon EC2 instances behind an Application Load Balancer. After a purchase is made, customers receive an S3 signed URL that allows access to the files. The customers are distributed across North America and Europe. The company wants to reduce the cost that is associated with data transfers and wants to maintain or improve performance. What should a solutions architect do to meet these requirements? requests to the S3 Transfer Acceleration endpoint. Continue to use S3 signed URLs for access control. origin. Direct customer requests to the CloudFront URL. Switch to CloudFront signed URLs for access control. Replication between the buckets. Direct customer requests to the closest Region. Continue to use S3 signed URLs for access control. Configure the web application to read the data from the existing S3 bucket. Implement access control directly in the application.",Configure S3 Transfer Acceleration on the existing S3 bucket. Direct customer,Deploy an Amazon CloudFront distribution with the existing S3 bucket as the,Set up a second S3 bucket in the eu-central-1 Region with S3 Cross-Region,Modify the web application to enable streaming of the datasets to end users.,,,B,"=IF(H10=I10,1,0)",Design High-Performing Architectures
Q10,"A company hosts its web applications in the AWS Cloud. The company configures Elastic Load Balancers to use certificates that are imported into AWS Certificate Manager (ACM). The company's security team must be notified 30 days before the expiration of each certificate. What should a solutions architect recommend to meet this requirement? Notification Service (Amazon SNS) topic every day, beginning 30 days before any certificate will expire. days. Configure Amazon EventBridge (Amazon CloudWatch Events) to invoke a custom alert by way of Amazon Simple Notification Service (Amazon SNS) when AWS Config reports a noncompliant resource. days. Create an Amazon CloudWatch alarm that is based on Trusted Advisor metrics for check status changes. Configure the alarm to send a custom alert by way of Amazon Simple Notification Service (Amazon SNS). 51 Global IT Certification Hub any certificates that will expire within 30 days. Configure the rule to invoke an AWS Lambda function. Configure the Lambda function to send a custom alert by way of Amazon Simple Notification Service (Amazon SNS).",Add a rule in ACM to publish a custom message to an Amazon Simple,Create an AWS Config rule that checks for certificates that will expire within 30,Use AWS Trusted Advisor to check for certificates that will expire within 30,Create an Amazon EventBridge (Amazon CloudWatch Events) rule to detect,,,D,"=IF(H11=I11,1,0)",Design Secure Architectures
