Question,Question Text,A,B,C,D,E,Your Answer,Correct,Points,Domain
Q1,A company's production environment consists of Amazon EC2 On-Demand Instances that run constantly between Monday and Saturday. The instances must run for only 12 hours on Sunday and cannot tolerate interruptions. The company wants to cost-optimize the production environment. Which solution will meet these requirements MOST cost-effectively? 12 hours on Sunday. Purchase Standard Reserved Instances for the EC2 instances that run constantly between Monday and Saturday. only 12 hours on Sunday. Purchase Standard Reserved Instances for the EC2 instances that run constantly between Monday and Saturday. Purchase Standard Reserved Instances for the EC2 instances that run constantly between Monday and Saturday. Purchase Convertible Reserved Instances for the EC2 instances that run constantly between Monday and Saturday.,Purchase Scheduled Reserved Instances for the EC2 instances that run for only,Purchase Convertible Reserved Instances for the EC2 instances that run for,Use Spot Instances for the EC2 instances that run for only 12 hours on Sunday.,Use Spot Instances for the EC2 instances that run for only 12 hours on Sunday.,,,A,"=IF(H2=I2,1,0)",Design Cost-Optimized Architectures
Q2,A company runs its production workload on an Amazon Aurora MySQL DB cluster that includes six Aurora Replicas. The company wants near-real-time reporting queries from one of its departments to be automatically distributed across three of the Aurora Replicas. Those three replicas have a different compute and memory specification from the rest of the DB cluster. Which solution meets these requirements? 592 Global IT Certification Hub,Create and use a custom endpoint for the workload,Create a three-node cluster clone and use the reader endpoint,Use any of the instance endpoints for the selected three nodes,Use the reader endpoint to automatically distribute the read-only workload,,,A,"=IF(H3=I3,1,0)",General
Q3,A company uses an Amazon DynamoDB table to store data that the company receives from devices. The DynamoDB table supports a customer-facing website to display recent activity on customer devices. The company configured the table with provisioned throughput for writes and reads. The company wants to calculate performance metrics for customer device data on a daily basis. The solution must have minimal effect on the table's provisioned read and write capacity. Which solution will meet these requirements? connector to calculate performance metrics on a recurring schedule. calculate performance metrics on a recurring schedule. a recurring schedule. performance metrics on a recurring schedule.,Use an Amazon Athena SQL query with the Amazon Athena DynamoDB,Use an AWS Glue job with the AWS Glue DynamoDB export connector to,Use an Amazon Redshift COPY command to calculate performance metrics on,Use an Amazon EMR job with an Apache Hive external table to calculate,,,B,"=IF(H4=I4,1,0)",Design High-Performing Architectures
Q4,A company hosts an application on AWS. The application gives users the ability to upload photos and store the photos in an Amazon S3 bucket. The company wants to use Amazon CloudFront and a custom domain name to upload the photo files to the S3 bucket in the eu-west-1 Region. Which solution will meet these requirements? (Choose two.) us-east-1 Region. Use the certificate in CloudFront. Use the certificate in CloudFront. Acceleration. (OAC). 611 Global IT Certification Hub S3 website endpoint.,Use AWS Certificate Manager (ACM) to create a public certificate in the,Use AWS Certificate Manager (ACM) to create a public certificate in eu-west-1.,Configure Amazon S3 to allow uploads from CloudFront. Configure S3 Transfer,Configure Amazon S3 to allow uploads from CloudFront origin access control,Configure Amazon S3 to allow uploads from CloudFront. Configure an Amazon,,AD,"=IF(H5=I5,1,0)",Design High-Performing Architectures
Q5,A company has an application that uses an Amazon DynamoDB table for storage. A solutions architect discovers that many requests to the table are not returning the latest data. The company's users have not reported any other issues with database performance. Latency is in an acceptable range. 454 Global IT Certification Hub Which design change should the solutions architect recommend? qnH,Add read replicas to the table.,Use a global secondary index (GSI).,Request strongly consistent reads for the table.,Request eventually consistent reads for the table.,,,C,"=IF(H6=I6,1,0)",Design High-Performing Architectures
Q6,A company wants to add its existing AWS usage cost to its operation cost dashboard. A solutions architect needs to recommend a solution that will give the company access to its usage cost programmatically. The company must be able to access cost data for the current year and forecast costs for the next 12 months. Which solution will meet these requirements with the LEAST operational overhead? pagination. report .CSV files. through FTP. company through SMTP.,Access usage cost-related data by using the AWS Cost Explorer API with,Access usage cost-related data by using downloadable AWS Cost Explorer,Configure AWS Budgets actions to send usage cost data to the company,Create AWS Budgets reports for usage cost data. Send the data to the,,,A,"=IF(H7=I7,1,0)",Design Cost-Optimized Architectures
Q7,A company needs to keep user transaction data in an Amazon DynamoDB table. The company must retain the data for 7 years. What is the MOST operationally efficient solution that meets these requirements? table. Store the backup in an Amazon S3 bucket. Set an S3 Lifecycle configuration for the S3 bucket. AWS Lambda function. Configure the Lambda function to back up the table and to store the backup in an Amazon S3 bucket. Set an S3 Lifecycle configuration for the S3 bucket.,Use DynamoDB point-in-time recovery to back up the table continuously.,Use AWS Backup to create backup schedules and retention policies for the,Create an on-demand backup of the table by using the DynamoDB console.,Create an Amazon EventBridge (Amazon CloudWatch Events) rule to invoke an,,,B,"=IF(H8=I8,1,0)",Design Resilient Architectures
Q8,A company is building an application in the AWS Cloud. The application will store data in Amazon S3 buckets in two AWS Regions. The company must use an AWS Key Management Service (AWS KMS) customer managed key to encrypt all data that is stored in the S3 buckets. The data in both S3 buckets must be encrypted and decrypted with the same KMS key. The data and the key must be stored in each of the two Regions. Which solution will meet these requirements with the LEAST operational overhead? server-side encryption with Amazon S3 managed encryption keys (SSE-S3). Configure replication between the S3 buckets. each Region. Configure replication between the S3 buckets. Configure the application to use the KMS key with client-side encryption. Configure the S3 buckets to use server-side encryption with Amazon S3 managed encryption keys (SSE-S3). Configure replication between the S3 buckets. Configure the S3 buckets to use server-side encryption with AWS KMS keys (SSE-KMS). Configure replication between the S3 buckets.,Create an S3 bucket in each Region. Configure the S3 buckets to use,Create a customer managed multi-Region KMS key. Create an S3 bucket in,Create a customer managed KMS key and an S3 bucket in each Region.,Create a customer managed KMS key and an S3 bucket in each Region.,,,B,"=IF(H9=I9,1,0)",Design Secure Architectures
Q9,A solutions architect needs to implement a solution to reduce a company's storage costs. All the company's data is in the Amazon S3 Standard storage class. The company must keep all data for at least 25 years. Data from the most recent 2 years must be highly available and immediately retrievable. Which solution will meet these requirements? immediately. after 2 years. archived in S3 Glacier Deep Archive. Access (S3 One Zone-IA) immediately and to S3 Glacier Deep Archive after 2 years.,Set up an S3 Lifecycle policy to transition objects to S3 Glacier Deep Archive,Set up an S3 Lifecycle policy to transition objects to S3 Glacier Deep Archive,Use S3 Intelligent-Tiering. Activate the archiving option to ensure that data is,Set up an S3 Lifecycle policy to transition objects to S3 One Zone-Infrequent,,,B,"=IF(H10=I10,1,0)",Design Cost-Optimized Architectures
Q10,A company has applications that run on Amazon EC2 instances. The EC2 instances connect to Amazon RDS databases by using an IAM role that has associated policies. The company wants to use AWS Systems Manager to patch the EC2 instances without disrupting the running applications. Which solution will meet these requirements? the new IAM role. Attach the new IAM role to the EC2 instances and the existing IAM role. the IAM user. Configure Systems Manager to use the IAM user to manage the EC2 instances. manage the EC2 instances. AmazonSSMManagedInstanceCore policy to the existing IAM role.,Create a new IAM role. Attach the AmazonSSMManagedInstanceCore policy to,Create an IAM user. Attach the AmazonSSMManagedInstanceCore policy to,Enable Default Host Configuration Management in Systems Manager to,Remove the existing policies from the existing IAM role. Add the,,,C,"=IF(H11=I11,1,0)",Design Secure Architectures
Q11,"A company wants to implement a disaster recovery plan for its primary on-premises file storage volume. The file storage volume is mounted from an Internet Small Computer Systems Interface (iSCSI) device on a local storage server. The file storage volume holds hundreds of terabytes (TB) of data. The company wants to ensure that end users retain immediate access to all file types from the on-premises systems without experiencing latency. Which solution will meet these requirements with the LEAST amount of change to the company's existing infrastructure? on premises. Set the local cache to 10 TB. Modify existing applications to access the files through the NFS protocol. To recover from a disaster, provision an Amazon EC2 instance and mount the S3 bucket that contains the files. to back up all existing data to a virtual tape library. Configure the data backup solution to run nightly after the initial backup is complete. To recover from a disaster, provision an Amazon EC2 instance and restore the data to an Amazon Elastic Block Store (Amazon EBS) volume from the volumes in the virtual tape library. local cache to 10 TB. Mount the Volume Gateway cached volume to the existing file server by using iSCSI, and copy all files to the storage volume. Configure scheduled snapshots of the storage volume. To recover from a disaster, restore a snapshot to an Amazon Elastic Block Store (Amazon EBS) volume and attach the EBS volume to an Amazon EC2 instance. same amount of disk space as the existing file storage volume. Mount the Volume Gateway stored volume to the existing file server by using iSCSI, and copy all files to the storage volume. Configure scheduled snapshots of the storage volume. To recover from a disaster, restore a snapshot to an Amazon Elastic Block Store (Amazon EBS) volume and attach the EBS volume to an Amazon EC2 instance.",Provision an Amazon S3 File Gateway as a virtual machine (VM) that is hosted,Provision an AWS Storage Gateway tape gateway. Use a data backup solution,Provision an AWS Storage Gateway Volume Gateway cached volume. Set the,Provision an AWS Storage Gateway Volume Gateway stored volume with the,,,D,"=IF(H12=I12,1,0)",Design Resilient Architectures
Q12,A recent analysis of a company's IT expenses highlights the need to reduce backup costs. The company's chief information officer wants to simplify the on-premises backup infrastructure and reduce costs by eliminating the use of physical backup tapes. The company must preserve the existing investment in the on-premises backup applications and workflows. What should a solutions architect recommend? the NFS interface. using the NFS interface. using the iSCSI interface. the iSCSI-virtual tape library (VTL) interface.,Set up AWS Storage Gateway to connect with the backup applications using,Set up an Amazon EFS file system that connects with the backup applications,Set up an Amazon EFS file system that connects with the backup applications,Set up AWS Storage Gateway to connect with the backup applications using,,,D,"=IF(H13=I13,1,0)",Design Resilient Architectures
Q13,A hospital recently deployed a RESTful API with Amazon API Gateway and AWS Lambda. The hospital uses API Gateway and Lambda to upload reports that are in PDF format and JPEG format. The hospital needs to modify the Lambda code to identify protected health information (PHI) in the reports. Which solution will meet these requirements with the LEAST operational overhead? the PHI from the extracted text. SageMaker to identify the PHI from the extracted text. Comprehend Medical to identify the PHI from the extracted text. Comprehend Medical to identify the PHI from the extracted text.,Use existing Python libraries to extract the text from the reports and to identify,Use Amazon Textract to extract the text from the reports. Use Amazon,Use Amazon Textract to extract the text from the reports. Use Amazon,Use Amazon Rekognition to extract the text from the reports. Use Amazon,,,C,"=IF(H14=I14,1,0)",General
Q14,"A company needs to store its accounting records in Amazon S3. The records must be immediately accessible for 1 year and then must be archived for an additional 9 years. No one at the company, including administrative users and root users, can be able to delete the records during the entire 10-year period. The records must be stored with maximum resiliency. Which solution will meet these requirements? control policy to deny deletion of the records for a period of 10 years. deletion of the records. After 10 years, change the IAM policy to allow deletion. Glacier Deep Archive after 1 year. Use S3 Object Lock in compliance mode for a period of 10 years. 33 Global IT Certification Hub Zone-Infrequent Access (S3 One Zone-IA) after 1 year. Use S3 Object Lock in governance mode for a period of 10 years.",Store the records in S3 Glacier for the entire 10-year period. Use an access,Store the records by using S3 Intelligent-Tiering. Use an IAM policy to deny,Use an S3 Lifecycle policy to transition the records from S3 Standard to S3,Use an S3 Lifecycle policy to transition the records from S3 Standard to S3 One,,,C,"=IF(H15=I15,1,0)",Design Secure Architectures
Q15,A company has several on-premises Internet Small Computer Systems Interface (ISCSI) network storage servers. The company wants to reduce the number of these servers by moving to the AWS Cloud. A solutions architect must provide low-latency access to frequently used data and reduce the dependency on on-premises servers with a minimal number of infrastructure changes. Which solution will meet these requirements? Amazon S3. 377 Global IT Certification Hub stored volumes. cached volumes.,Deploy an Amazon S3 File Gateway.,Deploy Amazon Elastic Block Store (Amazon EBS) storage with backups to,Deploy an AWS Storage Gateway volume gateway that is configured with,Deploy an AWS Storage Gateway volume gateway that is configured with,,,D,"=IF(H16=I16,1,0)",Design High-Performing Architectures
Q16,"A company has an internal application that runs on Amazon EC2 instances in an Auto Scaling group. The EC2 instances are compute optimized and use Amazon Elastic Block Store (Amazon EBS) volumes. The company wants to identify cost optimizations across the EC2 instances, the Auto Scaling group, and the EBS volumes. Which solution will meet these requirements with the MOST operational efficiency? recommendations for the EC2 instances the Auto Scaling group, and the EBS volumes. recommendations for the EC2 instances, the Auto Scaling group, and the EBS volumes. instances, the Auto Scaling group and the EBS volumes. instances. Create a new AWS Cost and Usage Report. Search the report for cost recommendations for the Auto Scaling group and the EBS volumes.",Create a new AWS Cost and Usage Report. Search the report for cost,Create new Amazon CloudWatch billing alerts. Check the alert statuses for cost,Configure AWS Compute Optimizer for cost recommendations for the EC2,Configure AWS Compute Optimizer for cost recommendations for the EC2,,,C,"=IF(H17=I17,1,0)",Design Cost-Optimized Architectures
Q17,A company runs multiple Amazon EC2 Linux instances in a VPC across two Availability Zones. The instances host applications that use a hierarchical directory structure. The applications need to read and write rapidly and concurrently to shared storage. What should a solutions architect do to meet these requirements? VPC. EFS file system from each EC2 instance. 355 Global IT Certification Hub Store (Amazon EBS) volume. Attach the EBS volume to all the EC2 instances. are attached to each EC2 instance. Synchronize the EBS volumes across the different EC2 instances.,Create an Amazon S3 bucket. Allow access from all the EC2 instances in the,Create an Amazon Elastic File System (Amazon EFS) file system. Mount the,Create a file system on a Provisioned IOPS SSD (io2) Amazon Elastic Block,Create file systems on Amazon Elastic Block Store (Amazon EBS) volumes that,,,B,"=IF(H18=I18,1,0)",Design Secure Architectures
Q18,"A company runs an on-premises application that is powered by a MySQL database. The company is migrating the application to AWS to increase the application's elasticity and availability. The current architecture shows heavy read activity on the database during times of normal operation. Every 4 hours, the company's development team pulls a full 57 Global IT Certification Hub export of the production database to populate a database in the staging environment. During this period, users experience unacceptable application latency. The development team is unable to use the staging environment until the procedure completes. A solutions architect must recommend replacement architecture that alleviates the application latency issue. The replacement architecture also must give the development team the ability to continue using the staging environment without delay. Which solution meets these requirements? Populate the staging database by implementing a backup and restore process that uses the mysqldump utility. database cloning to create the staging database on-demand. production. Use the standby instance for the staging database. production. Populate the staging database by implementing a backup and restore process that uses the mysqldump utility.",Use Amazon Aurora MySQL with Multi-AZ Aurora Replicas for production.,Use Amazon Aurora MySQL with Multi-AZ Aurora Replicas for production. Use,Use Amazon RDS for MySQL with a Multi-AZ deployment and read replicas for,Use Amazon RDS for MySQL with a Multi-AZ deployment and read replicas for,,,B,"=IF(H19=I19,1,0)",Design Resilient Architectures
Q19,"An Amazon EC2 administrator created the following policy associated with an IAM group containing several users: What is the effect of this policy? { ""Version"": ""2012-10-17"", ""Statement"": [ % { ""Effect"": ""Allow"", ""Action"": c2:TerminateInstances"", ""Resource"": ""*"", ""Condition"": { ""IpAddress"": { ""aws:SourceIp"": ""10.100.100.0/24"" } } { ""Effect"": ""Deny"", ""Action"": ""ec2:*"", ""Resource"": ""*"", ""Condition"": { ""StringNotEquals"": { ""ec2:Region"": ""us-east-1"" } } } ] } us-east-1 Region. source IP is 10.100.100.254. user's source IP is 10.100.100.254.",Users can terminate an EC2 instance in any AWS Region except us-east-1.,Users can terminate an EC2 instance with the IP address 10.100.100.1 in the,Users can terminate an EC2 instance in the us-east-1 Region when the user's,Users cannot terminate an EC2 instance in the us-east-1 Region when the,,,C,"=IF(H20=I20,1,0)",Design Secure Architectures
Q20,"A company is hosting a high-traffic static website on Amazon S3 with an Amazon CloudFront distribution that has a default TTL of 0 seconds. The company wants to implement caching to improve performance for the website. However, the company also wants to ensure that stale content is not served for more than a few minutes after a deployment. Which combination of caching methods should a solutions architect implement to meet these requirements? (Choose two.) responses. Configure the function to run on viewer response. S3. On deployment, create a CloudFront invalidation to clear any changed files from edge caches.",Set the CloudFront default TTL to 2 minutes.,Set a default TTL of 2 minutes on the S3 bucket.,Add a Cache-Control private directive to the objects in Amazon S3.,Create an AWS Lambda@Edge function to add an Expires header to HTTP,Add a Cache-Control max-age directive of 24 hours to the objects in Amazon,,AE,"=IF(H21=I21,1,0)",Design High-Performing Architectures
Q21,"A solutions architect is using an AWS CloudFormation template to deploy a three-tier web application. The web application consists of a web tier and an application tier that stores and retrieves user data in Amazon DynamoDB tables. The web and application tiers are hosted on Amazon EC2 instances, and the database tier is not publicly accessible. The application EC2 instances need to access the DynamoDB tables without exposing API credentials in the template. What should the solutions architect do to meet these requirements? 349 Global IT Certification Hub application instances by referencing an instance profile. DynamoDB tables. Add the role to the EC2 instance profile, and associate the instance profile with the application instances. user input access and secret keys from an already-created IAM user that has the required permissions to read and write from the DynamoDB tables. permissions to read and write from the DynamoDB tables. Use the GetAtt function to retrieve the access and secret keys, and pass them to the application instances through the user data.",Create an IAM role to read the DynamoDB tables. Associate the role with the,Create an IAM role that has the required permissions to read and write from the,Use the parameter section in the AWS CloudFormation template to have the,Create an IAM user in the AWS CloudFormation template that has the required,,,B,"=IF(H22=I22,1,0)",Design Secure Architectures
Q22,A company has a financial application that produces reports. The reports average 50 KB in size and are stored in Amazon S3. The reports are frequently 346 Global IT Certification Hub accessed during the first week after production and must be stored for several years. The reports must be retrievable within 6 hours. Which solution meets these requirements MOST cost-effectively? Glacier after 7 days. Standard-Infrequent Access (S3 Standard-IA) after 7 days. reports to S3 Standard-Infrequent Access (S3 Standard-IA) and S3 Glacier. Glacier Deep Archive after 7 days.,Use S3 Standard. Use an S3 Lifecycle rule to transition the reports to S3,Use S3 Standard. Use an S3 Lifecycle rule to transition the reports to S3,Use S3 Intelligent-Tiering. Configure S3 Intelligent-Tiering to transition the,Use S3 Standard. Use an S3 Lifecycle rule to transition the reports to S3,,,A,"=IF(H23=I23,1,0)",Design Cost-Optimized Architectures
