Question,Correct Answer,All Options,Domain,Explanation
Q1,A,A. Purchase Scheduled Reserved Instances for the EC2 instances that run for only | B. Purchase Convertible Reserved Instances for the EC2 instances that run for | C. Use Spot Instances for the EC2 instances that run for only 12 hours on Sunday. | D. Use Spot Instances for the EC2 instances that run for only 12 hours on Sunday.,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q2,A,A. Create and use a custom endpoint for the workload | B. Create a three-node cluster clone and use the reader endpoint | C. Use any of the instance endpoints for the selected three nodes | D. Use the reader endpoint to automatically distribute the read-only workload,General,Refer to AWS documentation and best practices
Q3,B,A. Use an Amazon Athena SQL query with the Amazon Athena DynamoDB | B. Use an AWS Glue job with the AWS Glue DynamoDB export connector to | C. Use an Amazon Redshift COPY command to calculate performance metrics on | D. Use an Amazon EMR job with an Apache Hive external table to calculate,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q4,AD,A. Use AWS Certificate Manager (ACM) to create a public certificate in the | B. Use AWS Certificate Manager (ACM) to create a public certificate in eu-west-1. | C. Configure Amazon S3 to allow uploads from CloudFront. Configure S3 Transfer | D. Configure Amazon S3 to allow uploads from CloudFront origin access control | E. Configure Amazon S3 to allow uploads from CloudFront. Configure an Amazon,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q5,C,A. Add read replicas to the table. | B. Use a global secondary index (GSI). | C. Request strongly consistent reads for the table. | D. Request eventually consistent reads for the table.,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q6,A,A. Access usage cost-related data by using the AWS Cost Explorer API with | B. Access usage cost-related data by using downloadable AWS Cost Explorer | C. Configure AWS Budgets actions to send usage cost data to the company | D. Create AWS Budgets reports for usage cost data. Send the data to the,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q7,B,A. Use DynamoDB point-in-time recovery to back up the table continuously. | B. Use AWS Backup to create backup schedules and retention policies for the | C. Create an on-demand backup of the table by using the DynamoDB console. | D. Create an Amazon EventBridge (Amazon CloudWatch Events) rule to invoke an,Design Resilient Architectures,Refer to AWS documentation and best practices
Q8,B,A. Create an S3 bucket in each Region. Configure the S3 buckets to use | B. Create a customer managed multi-Region KMS key. Create an S3 bucket in | C. Create a customer managed KMS key and an S3 bucket in each Region. | D. Create a customer managed KMS key and an S3 bucket in each Region.,Design Secure Architectures,Refer to AWS documentation and best practices
Q9,B,A. Set up an S3 Lifecycle policy to transition objects to S3 Glacier Deep Archive | B. Set up an S3 Lifecycle policy to transition objects to S3 Glacier Deep Archive | C. Use S3 Intelligent-Tiering. Activate the archiving option to ensure that data is | D. Set up an S3 Lifecycle policy to transition objects to S3 One Zone-Infrequent,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q10,C,A. Create a new IAM role. Attach the AmazonSSMManagedInstanceCore policy to | B. Create an IAM user. Attach the AmazonSSMManagedInstanceCore policy to | C. Enable Default Host Configuration Management in Systems Manager to | D. Remove the existing policies from the existing IAM role. Add the,Design Secure Architectures,Refer to AWS documentation and best practices
Q11,D,A. Provision an Amazon S3 File Gateway as a virtual machine (VM) that is hosted | B. Provision an AWS Storage Gateway tape gateway. Use a data backup solution | C. Provision an AWS Storage Gateway Volume Gateway cached volume. Set the | D. Provision an AWS Storage Gateway Volume Gateway stored volume with the,Design Resilient Architectures,Refer to AWS documentation and best practices
Q12,D,A. Set up AWS Storage Gateway to connect with the backup applications using | B. Set up an Amazon EFS file system that connects with the backup applications | C. Set up an Amazon EFS file system that connects with the backup applications | D. Set up AWS Storage Gateway to connect with the backup applications using,Design Resilient Architectures,Refer to AWS documentation and best practices
Q13,C,A. Use existing Python libraries to extract the text from the reports and to identify | B. Use Amazon Textract to extract the text from the reports. Use Amazon | C. Use Amazon Textract to extract the text from the reports. Use Amazon | D. Use Amazon Rekognition to extract the text from the reports. Use Amazon,General,Refer to AWS documentation and best practices
Q14,C,A. Store the records in S3 Glacier for the entire 10-year period. Use an access | B. Store the records by using S3 Intelligent-Tiering. Use an IAM policy to deny | C. Use an S3 Lifecycle policy to transition the records from S3 Standard to S3 | D. Use an S3 Lifecycle policy to transition the records from S3 Standard to S3 One,Design Secure Architectures,Refer to AWS documentation and best practices
Q15,D,A. Deploy an Amazon S3 File Gateway. | B. Deploy Amazon Elastic Block Store (Amazon EBS) storage with backups to | C. Deploy an AWS Storage Gateway volume gateway that is configured with | D. Deploy an AWS Storage Gateway volume gateway that is configured with,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q16,C,A. Create a new AWS Cost and Usage Report. Search the report for cost | B. Create new Amazon CloudWatch billing alerts. Check the alert statuses for cost | C. Configure AWS Compute Optimizer for cost recommendations for the EC2 | D. Configure AWS Compute Optimizer for cost recommendations for the EC2,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q17,B,A. Create an Amazon S3 bucket. Allow access from all the EC2 instances in the | B. Create an Amazon Elastic File System (Amazon EFS) file system. Mount the | C. Create a file system on a Provisioned IOPS SSD (io2) Amazon Elastic Block | D. Create file systems on Amazon Elastic Block Store (Amazon EBS) volumes that,Design Secure Architectures,Refer to AWS documentation and best practices
Q18,B,A. Use Amazon Aurora MySQL with Multi-AZ Aurora Replicas for production. | B. Use Amazon Aurora MySQL with Multi-AZ Aurora Replicas for production. Use | C. Use Amazon RDS for MySQL with a Multi-AZ deployment and read replicas for | D. Use Amazon RDS for MySQL with a Multi-AZ deployment and read replicas for,Design Resilient Architectures,Refer to AWS documentation and best practices
Q19,C,A. Users can terminate an EC2 instance in any AWS Region except us-east-1. | B. Users can terminate an EC2 instance with the IP address 10.100.100.1 in the | C. Users can terminate an EC2 instance in the us-east-1 Region when the user's | D. Users cannot terminate an EC2 instance in the us-east-1 Region when the,Design Secure Architectures,Refer to AWS documentation and best practices
