Question,Correct Answer,All Options,Domain,Explanation
Q1,D,A. Use logs in Amazon CloudWatch Logs to monitor the storage utilization of | B. Use a custom script to monitor space usage. Use Amazon EBS Elastic Volumes | C. Delete all expired and unused snapshots to reduce snapshot costs. | D. Delete all nonessential snapshots. Use Amazon Data Lifecycle Manager to,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q2,B,"A. Set up AWS Glue to copy the data from the on-premises servers to Amazon S3. | B. Set up an AWS DataSync agent on the on-premises servers, and sync the data | C. Set up an SFTP sync using AWS Transfer for SFTP to sync data from on | D. Set up an AWS Direct Connect connection between the on-premises data",Design Secure Architectures,Refer to AWS documentation and best practices
Q3,C,A. Configure each development environment with its own Amazon Aurora | B. Configure each development environment with its own Amazon RDS for | C. Configure each development environment with its own Amazon Aurora | D. Configure each development environment with its own Amazon S3 bucket by,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q4,C,A. Use a CloudFront security policy to create a certificate. | B. Use a CloudFront origin access control (OAC) to create a certificate. | C. Use AWS Certificate Manager (ACM) to create a certificate. Use DNS validation | D. Use AWS Certificate Manager (ACM) to create a certificate. Use email,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q5,AD,A. Create an Amazon RDS DB instance in Multi-AZ mode. | B. Create an Amazon RDS DB instance and one or more replicas in another | C. Create an Amazon EC2 instance-based Docker cluster to handle the dynamic | D. Create an Amazon Elastic Container Service (Amazon ECS) cluster with a | E. Create an Amazon Elastic Container Service (Amazon ECS) cluster with an,Design Resilient Architectures,Refer to AWS documentation and best practices
Q6,B,A. Run the program by using Amazon EC2 On-Demand Instances. Create an | B. Run the program in AWS Lambda. Create an Amazon EventBridge rule to run a | C. Run the program in Amazon Elastic Container Service (Amazon ECS). | D. Run the program by using Amazon EC2 Spot Instances. Create an Amazon,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q7,D,A. Create a read replica of the database. Configure IAM standard database | B. Export the database contents to text files. Store the files in an Amazon S3 | C. Copy a snapshot of the database to an Amazon S3 bucket. Create an IAM user. | D. Create an encrypted snapshot of the database. Share the snapshot with the,Design Secure Architectures,Refer to AWS documentation and best practices
Q8,C,A. Deploy a Network Load Balancer (NLB) in the networking account to send traffic | B. Deploy an Application Load Balancer (ALB) in the application accounts to send | C. Deploy a Gateway Load Balancer (GWLB) in the networking account to send | D. Deploy an interface VPC endpoint in the application accounts to send traffic,Design Secure Architectures,Refer to AWS documentation and best practices
Q9,B,A. Configure S3 Transfer Acceleration on the existing S3 bucket. Direct customer | B. Deploy an Amazon CloudFront distribution with the existing S3 bucket as the | C. Set up a second S3 bucket in the eu-central-1 Region with S3 Cross-Region | D. Modify the web application to enable streaming of the datasets to end users.,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q10,D,A. Add a rule in ACM to publish a custom message to an Amazon Simple | B. Create an AWS Config rule that checks for certificates that will expire within 30 | C. Use AWS Trusted Advisor to check for certificates that will expire within 30 | D. Create an Amazon EventBridge (Amazon CloudWatch Events) rule to detect,Design Secure Architectures,Refer to AWS documentation and best practices
Q11,B,A. Create a log group in Amazon CloudWatch Logs. Configure VPC Flow Logs to | B. Create a log group in Amazon CloudWatch Logs. Configure VPC Flow Logs to | C. Create a trail in AWS CloudTrail. Configure VPC Flow Logs to send the log data | D. Create a trail in AWS CloudTrail. Configure VPC Flow Logs to send the log data,Design Secure Architectures,Refer to AWS documentation and best practices
Q12,B,A. Send Amazon CloudWatch logs to Amazon Redshift. Use Amazon QuickS ght | B. Enable detailed monitoring on all EC2 instances. Use Amazon CloudWatch | C. Create an AWS Lambda function to fetch EC2 logs from Amazon CloudWatch | D. Send EC2 logs to Amazon S3. Use Amazon Redshift to fetch logs from the S3,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q13,A,A. Create Amazon Route 53 health checks for each Region. Use an active-active | B. Create an Amazon CloudFront distribution with an origin for each Region. Use | C. Create a transit gateway. Attach the transit gateway to the API Gateway | D. Create an Application Load Balancer in the primary Region. Set the target,Design Resilient Architectures,Refer to AWS documentation and best practices
Q14,AD,"A. In Organizations, create a new tag policy that specifies the data sensitivity tag | B. In Organizations, create a new service control policy (SCP) that specifies the | C. Create a tag policy to deny running instances when a tag key is not specified. | D. Create a service control policy (SCP) to deny creating instances when a tag key | E. Create an AWS Config rule to check if EC2 instances use the data sensitivity",Design Secure Architectures,Refer to AWS documentation and best practices
Q15,B,A. Store the images and geographic codes in a database table. Use Oracle | B. Store the images in Amazon S3 buckets. Use Amazon DynamoDB with the | C. Store the images and geographic codes in an Amazon DynamoDB table. | D. Store the images in Amazon S3 buckets. Store geographic codes and image S3,Design Resilient Architectures,Refer to AWS documentation and best practices
Q16,B,A. Create an Enterprise Edition Active Directory in AWS Directory Service for | B. Enable AWS IAM Identity Center. Configure a two-way forest trust relationship | C. Use AWS Directory Service and create a two-way trust relationship with the | D. Deploy an identity provider (IdP) on Amazon EC2. Link the IdP as an identity,Design Secure Architectures,Refer to AWS documentation and best practices
Q17,D,A. Store images in Amazon Elastic Block Store (Amazon EBS). Use a web server | B. Store images in Amazon Elastic File System (Amazon EFS). Use a web server | C. Store images in Amazon S3 Standard. Use S3 Standard to directly deliver | D. Store images in Amazon S3 Standard-Infrequent Access (S3 Standard-IA). Use,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q18,B,A. Deploy the database on Amazon RDS. Use Provisioned IOPS SSD storage to | B. Deploy the database on Amazon Aurora Serverless to automatically scale the | C. Deploy the database on Amazon DynamoDB. Use on-demand capacity mode | D. Deploy the database on Amazon RDS. Use magnetic storage and use read,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q19,D,A. Create a cross-Region read replica. Configure the reports to be generated from | B. Activate Multi-AZ DB instance deployment for RDS for PostgreSQL. Configure | C. Use AWS Data Migration Service (AWS DMS) to logically replicate data to a | D. Create a read replica in us-east-1. Configure the reports to be generated from,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q20,A,A. Move the website to an Amazon S3 bucket. Configure an Amazon CloudFront | B. Move the website to an Amazon S3 bucket. Configure an Amazon ElastiCache | C. Move the website to AWS Amplify. Configure an ALB to resolve to the Amplify | D. Move the website to AWS Amplify. Configure EC2 instances to cache the,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q21,A,A. Create a managed node group that contains only Spot Instances. | B. Create two managed node groups. Provision one node group with On-Demand | C. Create an Auto Scaling group that has a launch configuration that uses Spot | D. Create a managed node group that contains only On-Demand Instances.,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q22,C,A. Create a script that runs locally on an Amazon EC2 Reserved Instance that is | B. Create an AWS Lambda function triggered by an Amazon EventBridge | C. Use an Amazon Elastic Container Service (Amazon ECS) Fargate task | D. Use an Amazon Elastic Container Service (Amazon ECS) task running on,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q23,B,A. Modify the inbound security group for the web tier. Add a deny rule for the IP | B. Modify the network ACL for the web tier subnets. Add an inbound deny rule for | C. Modify the inbound security group for the application tier. Add a deny rule for | D. Modify the network ACL for the application tier subnets. Add an inbound deny,Design Secure Architectures,Refer to AWS documentation and best practices
Q24,BC,A. Launch a second EC2 instance in a second AWS Region. Use a Route 53 | B. Create and configure an Auto Scaling group to launch private EC2 instances in | C. Migrate the database to an Amazon Aurora MySQL cluster. Create the primary | D. Create and configure an Auto Scaling group to launch private EC2 instances in | E. Migrate the database to an Amazon Aurora MySQL cluster with cross-Region,Design Resilient Architectures,Refer to AWS documentation and best practices
Q25,AB,A. Role | B. Group | C. Organization | D. Amazon Elastic Container Service (Amazon ECS) resource | E. Amazon EC2 resource,Design Secure Architectures,Refer to AWS documentation and best practices
Q26,B,A. Use Spot Instances for the entire workload. | B. Use Reserved Instances for the baseline level of usage. Use Spot instances for | C. Use On-Demand Instances for the baseline level of usage. Use Spot Instances | D. Use Dedicated Instances for the baseline level of usage. Use On-Demand,Design Resilient Architectures,Refer to AWS documentation and best practices
